"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CH","2025-06-29","73.4","-2.08","3.76","Jacob, Alek",694728,689690,"field_out","hit_into_play",,,,,1,"Brice Matthews grounds out, third baseman Mike Brosseau to first baseman Nate Mondou.","R","R","R","ELP","SUG","X",5,"ground_ball",1,1,2025,"-1.39","0.19","-0.72","2.74",,,,2,7,"Top",103.57,158.7,,,,,5.256241362326904,-106.70333918619937,4.971813207525757,-11.519179378966122,15.569643760419108,-31.61142461512927,"3.15","1.59",6,"58.4",-26,"75.4",2179,"7.4",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.06",0.057,0.051,"0",1,0,0,1,59,3,"Changeup",7,3,3,7,3,7,3,7,"Standard","Standard",266,"0.004","-0.249",,,0.063,"0.249","88.0",4,-4,"0.97","0.03",27,23,27,23,1,3,,,,,"3.99","1.39","1.39",,,,,,
"FF","2025-06-29","86.3","-2.08","3.85","Jacob, Alek",694728,689690,,"ball",,,,,11,"Brice Matthews grounds out, third baseman Mike Brosseau to first baseman Nate Mondou.","R","R","R","ELP","SUG","B",,,0,1,2025,"-0.75","0.64","-0.17","3.64",,,,2,7,"Top",,,,,,,6.200989856417648,-125.62343773302005,4.462508164802854,-9.081426444742776,21.95741685753728,-26.3149357207339,"3.15","1.59",,,,"88.6",2370,"7.4",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.11",,,,,,,,59,2,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Standard","Standard",240,"0","0.046",,,,"-0.046",,4,-4,"0.97","0.03",27,23,27,23,1,3,,,,,"2.38","0.75","0.75",,,,,,
"ST","2025-06-29","73.4","-2.33","3.83","Jacob, Alek",694728,689690,,"foul",,,,,8,"Brice Matthews grounds out, third baseman Mike Brosseau to first baseman Nate Mondou.","R","R","R","ELP","SUG","S",,,0,0,2025,"0.69","0.22","-0.19","2.01",,,,2,7,"Top",,,,,,,3.2317446796889544,-106.93623306473305,3.257086819160183,4.871354079683831,15.325818884553719,-31.121879775018584,"3.15","1.59",,,,"76.1",2111,"7.8",780139,669134,670148,687867,670712,669200,641796,657088,666632,"52.71",,,,,,,,59,1,"Sweeper",7,3,3,7,3,7,3,7,"Standard","Standard",98,"0","-0.062",,,,"0.062",,4,-4,"0.97","0.03",27,23,27,23,1,3,,,,,"3.94","-0.69","-0.69",,,,,,
"FF","2025-06-29","87","-2.14","3.81","Jacob, Alek",694376,689690,"strikeout","called_strike",,,,,6,"Shay Whitcomb called out on strikes.","R","R","R","ELP","SUG","S",2,,3,2,2025,"-0.87","0.77","0.58","2.52",,,,1,7,"Top",,,,,,,8.48791578549758,-126.55991445866192,1.4511818701285022,-10.82500918220735,20.400637027994385,-24.24388944520789,"3.27","1.65",,,,"89.6",2259,"7.4",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.06",,0,"0",1,0,0,,58,6,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Standard","Standard",239,"0.009","-0.387",,,,"0.387",,4,-4,"0.961","0.039",27,26,27,27,1,3,,,,,"2.2","0.87","0.87",,,,,,
"SI","2025-06-29","87.1","-2.22","3.76","Jacob, Alek",694376,689690,,"swinging_strike",,,,,6,"Shay Whitcomb called out on strikes.","R","R","R","ELP","SUG","S",,,3,1,2025,"-1.1","0.25","0.34","2.61",,,,1,7,"Top",,,,,,,8.544213913959384,-126.70501084369918,2.839399711058056,-13.34031514995167,19.806560314207612,-30.105828089990244,"3.27","1.65",,,,"89.6",2350,"7.3",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.18",,,,,,,,58,5,"Sinker",7,3,3,7,3,7,3,7,"Standard","Standard",243,"0","-0.103",,,,"0.103",,4,-4,"0.961","0.039",27,26,27,27,1,3,,,,,"2.7","1.1","1.1",,,,,,
"SI","2025-06-29","86.3","-2.14","3.74","Jacob, Alek",694376,689690,,"called_strike",,,,,5,"Shay Whitcomb called out on strikes.","R","R","R","ELP","SUG","S",,,3,0,2025,"-1.32","0.32","-0.15","2.61",,,,1,7,"Top",,,,,,,7.54500927111931,-125.54015252517884,2.8459121534582406,-15.451811300970979,21.050593811043047,-29.385268118139898,"3.27","1.65",,,,"88.2",2286,"7.1",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.39",,,,,,,,58,4,"Sinker",7,3,3,7,3,7,3,7,"Standard","Standard",243,"0","-0.138",,,,"0.138",,4,-4,"0.961","0.039",27,26,27,27,1,3,,,,,"2.7","1.32","1.32",,,,,,
"SI","2025-06-29","86.5","-2.04","3.69","Jacob, Alek",694376,689690,,"ball",,,,,14,"Shay Whitcomb called out on strikes.","R","R","R","ELP","SUG","B",,,2,0,2025,"-1.16","0.31","1.41","2.25",,,,1,7,"Top",,,,,,,10.794579095912043,-125.6900814638467,2.0871373465596674,-14.225398110477679,19.817066321974647,-29.35583509940294,"3.27","1.65",,,,"88.7",2410,"7.3",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.24",,,,,,,,58,3,"Sinker",7,3,3,7,3,7,3,7,"Standard","Standard",242,"0","0.165",,,,"-0.165",,4,-4,"0.961","0.039",27,26,27,27,1,3,,,,,"2.69","1.16","1.16",,,,,,
"SI","2025-06-29","85.6","-2.15","3.72","Jacob, Alek",694376,689690,,"ball",,,,,12,"Shay Whitcomb called out on strikes.","R","R","R","ELP","SUG","B",,,1,0,2025,"-1.41","0.35","0.1","3.64",,,,1,7,"Top",,,,,,,8.336084186562442,-124.3912089450306,5.455461331487284,-16.240405809946616,20.49355446553418,-29.662686714521403,"3.27","1.65",,,,"88.1",2339,"7.5",780139,669134,670148,687867,670712,669200,641796,657088,666632,"52.98",,,,,,,,58,2,"Sinker",7,3,3,7,3,7,3,7,"Standard","Standard",253,"0","0.108",,,,"-0.108",,4,-4,"0.961","0.039",27,26,27,27,1,3,,,,,"2.73","1.41","1.41",,,,,,
"SI","2025-06-29","85.4","-2","3.72","Jacob, Alek",694376,689690,,"ball",,,,,12,"Shay Whitcomb called out on strikes.","R","R","R","ELP","SUG","B",,,0,0,2025,"-1.24","0.21","0.9","2.71",,,,1,7,"Top",,,,,,,9.493324849622098,-124.08272867701132,3.4578121906134847,-14.452195259026043,19.065038985925973,-30.708955963744504,"3.27","1.65",,,,"87.8",2230,"7.4",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.15",,,,,,,,58,1,"Sinker",7,3,3,7,3,7,3,7,"Standard","Strategic",245,"0","0.066",,,,"-0.066",,4,-4,"0.961","0.039",27,26,27,27,1,3,,,,,"2.87","1.24","1.24",,,,,,
"FF","2025-06-29","86.3","-2.18","3.73","Jacob, Alek",665846,689690,"strikeout","swinging_strike",,,,,12,"Jesús Bastidas strikes out swinging.","R","R","R","ELP","SUG","S",2,,3,2,2025,"-0.86","0.85","0.77","3.33",,,,0,7,"Top",,,,,,,8.911714470553855,-125.55985099888267,3.5164463776612847,-10.62445822297017,20.251573899978247,-23.795446675054812,"3.07","1.55",,,,"88.6",2305,"7.3",780139,669134,670148,687867,670712,669200,641796,657088,666632,"53.19",,0,"0",1,0,0,,57,9,"4-Seam Fastball",7,3,3,7,3,7,3,7,"Standard","Standard",237,"0.014","-0.405",,,,"0.405",,4,-4,"0.947","0.053",27,26,27,27,1,3,,,,,"2.16","0.86","0.86",,,,,,
